item_id,rating_count,average_rating,recommendation_score,rank
I33,11,4.181818181818182,3.418324229619705,1
I264,9,4.333333333333333,3.4126914178693397,2
I181,11,4.090909090909091,3.386066165103576,3
I442,12,4.0,3.3740015974440896,4
I139,9,4.111111111111111,3.3437259006279607,5
I180,9,4.111111111111111,3.3437259006279607,6
I312,7,4.285714285714286,3.3321500414152165,7
I100,21,3.619047619047619,3.31629392971246,8
I408,13,3.769230769230769,3.302062155097299,9
I298,13,3.769230769230769,3.302062155097299,10
I419,13,3.769230769230769,3.302062155097299,11
I294,10,3.9,3.298935037273695,12
I217,10,3.9,3.298935037273695,13
I209,10,3.9,3.298935037273695,14
I17,7,4.142857142857143,3.29511300437818,15
I1,18,3.611111111111111,3.2886329241634433,16
I420,8,4.0,3.2845732542218165,17
I469,12,3.75,3.2802515974440896,18
I72,9,3.888888888888889,3.2747603833865813,19
I340,9,3.888888888888889,3.2747603833865813,20
I331,9,3.888888888888889,3.2747603833865813,21
I43,9,3.888888888888889,3.2747603833865813,22
I301,9,3.888888888888889,3.2747603833865813,23
I320,9,3.888888888888889,3.2747603833865813,24
I476,6,4.166666666666667,3.2680019660850332,25
I178,10,3.8,3.2656017039403618,26
I492,11,3.727272727272727,3.2570339070390597,27
I185,11,3.727272727272727,3.2570339070390597,28
I429,9,3.7777777777777777,3.2402776247658913,29
I35,9,3.7777777777777777,3.2402776247658913,30
I352,9,3.7777777777777777,3.2402776247658913,31
I250,9,3.7777777777777777,3.2402776247658913,32
I395,10,3.7,3.2322683706070285,33
I324,10,3.7,3.2322683706070285,34
I158,10,3.7,3.2322683706070285,35
I272,6,4.0,3.229540427623495,36
I449,11,3.6363636363636362,3.2247758425229307,37
I283,11,3.6363636363636362,3.2247758425229307,38
I19,11,3.6363636363636362,3.2247758425229307,39
I261,7,3.857142857142857,3.221038930304106,40
I387,8,3.75,3.213144682793245,41
I321,8,3.75,3.213144682793245,42
I57,8,3.75,3.213144682793245,43
I215,13,3.5384615384615383,3.211153064188208,44
I141,9,3.6666666666666665,3.205794866145202,45
I203,14,3.5,3.2049426799473784,46
I4,10,3.6,3.198935037273695,47
I248,10,3.6,3.198935037273695,48
I199,10,3.6,3.198935037273695,49
I59,5,4.0,3.1987220447284344,50
I247,6,3.8333333333333335,3.191078889161956,51
I44,6,3.8333333333333335,3.191078889161956,52
I474,12,3.5,3.1865015974440896,53
I49,12,3.5,3.1865015974440896,54
I270,12,3.5,3.1865015974440896,55
I289,7,3.7142857142857144,3.1840018932670686,56
I0,7,3.7142857142857144,3.1840018932670686,57
I356,7,3.7142857142857144,3.1840018932670686,58
I410,13,3.4615384615384617,3.1808500338851777,59
I66,8,3.625,3.1774303970789592,60
I490,8,3.625,3.1774303970789592,61
I206,8,3.625,3.1774303970789592,62
I249,8,3.625,3.1774303970789592,63
I230,8,3.625,3.1774303970789592,64
I50,14,3.4285714285714284,3.1755309152414957,65
I284,14,3.4285714285714284,3.1755309152414957,66
I257,9,3.5555555555555554,3.1713121075245123,67
I499,9,3.5555555555555554,3.1713121075245123,68
I177,9,3.5555555555555554,3.1713121075245123,69
I365,10,3.5,3.1656017039403617,70
I228,10,3.5,3.1656017039403617,71
I149,11,3.4545454545454546,3.1602597134906727,72
I451,5,3.8,3.1587220447284343,73
I157,5,3.8,3.1587220447284343,74
I221,12,3.4166666666666665,3.1552515974440896,75
I146,12,3.4166666666666665,3.1552515974440896,76
