user_id,bot_score,spam_rate,duplicate_rate,spam_score,duplicate_score,degree,weighted_degree,coordination_events,coordination_score,suspicious_ratings,rating_attack_score,risk_score,campaign_boost,risk_level,explanation
U0,28.229479377379388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.057369844344847,0,LOW RISK,No major suspicious signals detected.
U1,17.095310163981004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273827540995251,0,LOW RISK,No major suspicious signals detected.
U2,23.451098654368607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.862774663592152,0,LOW RISK,No major suspicious signals detected.
U3,16.655506528973824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163876632243456,0,LOW RISK,No major suspicious signals detected.
U4,37.83396629160579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.458491572901448,0,LOW RISK,No major suspicious signals detected.
U5,17.876927322112632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469231830528158,0,LOW RISK,No major suspicious signals detected.
U6,60.85736076971781,0.2,0.2,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.214340192429454,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U7,32.19588311437505,0.1111111111111111,0.1111111111111111,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,10.271193000815984,0,LOW RISK,No major suspicious signals detected.
U8,35.99583023194987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.998957557987467,0,LOW RISK,No major suspicious signals detected.
U9,15.806951217515326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9517378043788316,0,LOW RISK,No major suspicious signals detected.
U10,33.6386972803796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4096743200949,0,LOW RISK,No major suspicious signals detected.
U11,22.016077837529608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.504019459382402,0,LOW RISK,No major suspicious signals detected.
U12,18.691751680955417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672937920238854,0,LOW RISK,No major suspicious signals detected.
U13,24.95770133920829,0.25,0.25,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.239425334802071,0,LOW RISK,No major suspicious signals detected.
U14,47.90407437282767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.976018593206918,0,LOW RISK,No major suspicious signals detected.
U15,19.02278969652898,0.2,0.2,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.755697424132245,0,LOW RISK,No major suspicious signals detected.
U16,40.181611191197774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.045402797799444,0,LOW RISK,No major suspicious signals detected.
U17,30.597288533335103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.649322133333776,0,LOW RISK,No major suspicious signals detected.
U18,16.61241794471917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153104486179792,0,LOW RISK,No major suspicious signals detected.
U19,23.219874521089054,0.14285714285714285,0.14285714285714285,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,8.662111487415121,0,LOW RISK,No major suspicious signals detected.
U20,42.86474304909025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.716185762272563,0,LOW RISK,No major suspicious signals detected.
U21,14.912293147335683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728073286833921,0,LOW RISK,No major suspicious signals detected.
U22,19.33146190412801,0.16666666666666666,0.16666666666666666,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,8.166198809365335,0,LOW RISK,No major suspicious signals detected.
U23,42.7489503813791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.687237595344776,0,LOW RISK,No major suspicious signals detected.
U24,20.42507483256277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106268708140693,0,LOW RISK,No major suspicious signals detected.
U25,58.81309077524084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70327269381021,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U26,24.02580063504196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00645015876049,0,LOW RISK,No major suspicious signals detected.
U27,57.87661470364051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.469153675910128,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U28,30.759670871341243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.689917717835311,0,LOW RISK,No major suspicious signals detected.
U29,37.34961321942368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33740330485592,0,LOW RISK,No major suspicious signals detected.
U30,59.34813029889088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.83703257472272,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U31,31.34914209793937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837285524484843,0,LOW RISK,No major suspicious signals detected.
U32,54.92709955780744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.73177488945186,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U33,15.4407387706848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8601846926712,0,LOW RISK,No major suspicious signals detected.
U34,22.203090540535666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.550772635133916,0,LOW RISK,No major suspicious signals detected.
U35,12.882907002239442,0.25,0.25,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22072675055986,0,LOW RISK,No major suspicious signals detected.
U36,13.688030105684382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4220075264210954,0,LOW RISK,No major suspicious signals detected.
U37,22.67584050952311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.668960127380777,0,LOW RISK,No major suspicious signals detected.
U38,41.629195068331846,0.0,0.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407298767082962,0,LOW RISK,No major suspicious signals detected.
U39,20.27730362281132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06932590570283,0,LOW RISK,No major suspicious signals detected.
U40,28.62016083883594,0.5,0.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,17.155040209708986,0,LOW RISK,"Suspicious because of: high spam activity, repeated content."
U41,16.333549799286267,0.2,0.2,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.083387449821567,0,LOW RISK,No major suspicious signals detected.
U42,37.82675760741944,0.0,0.1111111111111111,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,10.56780051296597,0,LOW RISK,No major suspicious signals detected.
U43,31.460208279848604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.865052069962151,0,LOW RISK,No major suspicious signals detected.
U44,58.12430164173916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.53107541043479,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U45,17.984539142047264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.496134785511816,0,LOW RISK,No major suspicious signals detected.
U46,52.46653301998142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.116633254995355,0,LOW RISK,Suspicious because of: moderate bot-like behavior.
U47,14.497275953684277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.624318988421069,0,LOW RISK,No major suspicious signals detected.
U48,23.26253283829068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81563320957267,0,LOW RISK,No major suspicious signals detected.
U49,27.69694970898469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.924237427246172,0,LOW RISK,No major suspicious signals detected.
U50,10.64144986237381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6603624655934524,0,LOW RISK,No major suspicious signals detected.
U51,13.443883659573224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.360970914893306,0,LOW RISK,No major suspicious signals detected.
U52,9.75223828471088,0.0,0.3333333333333333,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.771392904511053,0,LOW RISK,No major suspicious signals detected.
U53,15.223241211721282,0.5,0.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13.80581030293032,0,LOW RISK,"Suspicious because of: high spam activity, repeated content."
U54,8.992253337162863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2480633342907157,0,LOW RISK,No major suspicious signals detected.
U55,9.803960956825028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.450990239206257,0,LOW RISK,No major suspicious signals detected.
U56,21.42937722999227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357344307498067,0,LOW RISK,No major suspicious signals detected.
U57,33.26261840502987,0.0,0.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.315654601257467,0,LOW RISK,No major suspicious signals detected.
U58,21.072432380228,0.125,0.125,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,7.768108095057,0,LOW RISK,No major suspicious signals detected.
U59,25.91344322687985,0.16666666666666666,0.16666666666666666,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.811694140053294,0,LOW RISK,No major suspicious signals detected.
