user_id,account_age_days,followers,following,posts,following_followers_ratio,posts_per_day,anomaly_score_raw,isolation_score,young_account_score,low_follower_score,following_ratio_score,activity_score,bot_score,account_status
U0,1156,870,1304,107,1.497129735935706,0.09248055315471046,0.1166163390983107,7.701505645428654,42.10526315789473,82.59125551544324,0.11255728662477546,0.010315442310444792,28.229479377379388,NORMAL
U1,1125,3782,1648,122,0.43563309542690987,0.108348134991119,0.11282345954759332,8.886741999061924,43.659147869674186,24.187725631768952,0.03260507695883979,0.012103340731121685,17.095310163981004,NORMAL
U2,496,4436,1492,88,0.3362632409285553,0.17706237424547283,0.08940641899210366,16.204329438826896,75.18796992481202,11.07099879663056,0.0251205130533734,0.01984579834737811,23.451098654368607,NORMAL
U3,1426,3181,2929,664,0.92049025769956,0.4653118430273301,0.09349028745334642,14.928162004823944,28.57142857142857,36.24147613317288,0.06912464755067181,0.05232464580562966,16.655506528973824,NORMAL
U4,160,1695,779,344,0.45931603773584906,2.1366459627329193,0.10770847335448486,10.48512325618825,92.03007518796993,66.04492579221821,0.03438888248090246,0.2406441808080325,37.83396629160579,NORMAL
U5,1545,2443,1225,956,0.5012274959083469,0.6183699870633894,0.09866020688673927,13.312614667800457,22.60651629072682,51.04292017649419,0.03754566467251306,0.06957065195925195,17.876927322112632,NORMAL
U6,5,33,4607,1022,135.5,170.33333333333334,-0.08491182068236791,70.67700962833176,99.79949874686717,99.37825912555155,10.20568916319322,19.192403485617525,60.85736076971781,WATCH
U7,51,4853,2914,561,0.6003296250515039,10.788461538461538,-0.009939884814683442,47.24904079767517,97.4937343358396,2.7075812274368283,0.045010063432924075,1.2154976627885037,32.19588311437505,NORMAL
U8,504,1092,2568,682,2.3494967978042087,1.3504950495049506,0.10703510403154382,10.69554433344608,74.78696741854637,78.1387886081027,0.17675780073114428,0.15206370328694624,35.99583023194987,NORMAL
U9,1529,2757,985,783,0.35714285714285715,0.5117647058823529,0.12013153436409207,6.603042811739243,23.408521303258144,44.745286803048536,0.026693171307392904,0.05755877668900401,15.806951217515326,NORMAL
U10,219,2744,572,876,0.20837887067395264,3.981818181818182,0.092232764831231,15.321125057648949,89.07268170426066,45.006016847172084,0.01548822822702551,0.4485511278394845,33.6386972803796,NORMAL
U11,1620,1277,2889,505,2.26056338028169,0.31153608883405304,0.09068209618896422,15.805693265702406,18.847117794486213,74.42839951865223,0.17005931203817917,0.034997782084674245,22.016077837529608,NORMAL
U12,1184,3566,656,21,0.1839080459770115,0.017721518987341773,0.08134221039383033,18.72431275655386,40.70175438596492,28.519855595667863,0.013645079193665963,0.0018918803274538608,18.691751680955417,NORMAL
U13,870,2445,610,316,0.24938675388389206,0.36280137772675086,0.12769130435721993,4.240691436972716,56.44110275689223,51.00280786201363,0.01857695291181184,0.04077415872427599,24.95770133920829,NORMAL
U14,43,251,2051,777,8.13888888888889,17.65909090909091,0.05640512920045232,26.5168974639448,97.89473684210527,95.00601684717208,0.6128163548899659,1.989653897018135,47.904074372827665,NORMAL
