rating_id,user_id,item_id,rating,timestamp
,BOT_001,I49,5,2026-08-12 19:23:09.341381
,BOT_001,I15,5,2026-08-12 19:23:09.341441
,BOT_001,I151,5,2026-08-12 19:23:09.341480
,BOT_002,I331,5,2026-08-12 19:23:09.341520
,BOT_002,I14,5,2026-08-12 19:23:09.341543
,BOT_002,I222,5,2026-08-12 19:23:09.341565
,BOT_003,I84,5,2026-08-12 19:23:09.341631
,BOT_003,I311,5,2026-08-12 19:23:09.341651
,BOT_003,I15,5,2026-08-12 19:23:09.341673
,BOT_004,I246,5,2026-08-12 19:23:09.341700
,BOT_004,I377,5,2026-08-12 19:23:09.341721
,BOT_004,I195,5,2026-08-12 19:23:09.341743
,BOT_005,I497,5,2026-08-12 19:23:09.341768
,BOT_005,I80,5,2026-08-12 19:23:09.341790
,BOT_005,I172,5,2026-08-12 19:23:09.341813
,BOT_006,I423,5,2026-08-12 19:23:09.341839
,BOT_006,I20,5,2026-08-12 19:23:09.341860
,BOT_006,I350,5,2026-08-12 19:23:09.341881
,BOT_007,I182,5,2026-08-12 19:23:09.341906
,BOT_007,I225,5,2026-08-12 19:23:09.341927
,BOT_007,I432,5,2026-08-12 19:23:09.341948
,BOT_008,I159,5,2026-08-12 19:23:09.341974
,BOT_008,I107,5,2026-08-12 19:23:09.341995
,BOT_008,I448,5,2026-08-12 19:23:09.342015
,BOT_009,I345,5,2026-08-12 19:23:09.342041
,BOT_009,I62,5,2026-08-12 19:23:09.342062
,BOT_009,I493,5,2026-08-12 19:23:09.342084
,BOT_010,I169,5,2026-08-12 19:23:09.342110
,BOT_010,I385,5,2026-08-12 19:23:09.342131
,BOT_010,I58,5,2026-08-12 19:23:09.342152
,BOT_011,I226,5,2026-08-12 19:23:09.342182
,BOT_011,I219,5,2026-08-12 19:23:09.342205
,BOT_011,I197,5,2026-08-12 19:23:09.342230
,BOT_012,I367,5,2026-08-12 19:23:09.342259
,BOT_012,I79,5,2026-08-12 19:23:09.342286
,BOT_012,I121,5,2026-08-12 19:23:09.342308
,BOT_013,I397,5,2026-08-12 19:23:09.342340
,BOT_013,I184,5,2026-08-12 19:23:09.342364
,BOT_013,I15,5,2026-08-12 19:23:09.342387
,BOT_014,I314,5,2026-08-12 19:23:09.342413
,BOT_014,I39,5,2026-08-12 19:23:09.342435
,BOT_014,I297,5,2026-08-12 19:23:09.342456
,BOT_015,I103,5,2026-08-12 19:23:09.342481
,BOT_015,I178,5,2026-08-12 19:23:09.342503
,BOT_015,I439,5,2026-08-12 19:23:09.342524
,BOT_016,I387,5,2026-08-12 19:23:09.342550
,BOT_016,I19,5,2026-08-12 19:23:09.343035
,BOT_016,I182,5,2026-08-12 19:23:09.343108
,BOT_017,I238,5,2026-08-12 19:23:09.343189
,BOT_017,I202,5,2026-08-12 19:23:09.343309
,BOT_017,I398,5,2026-08-12 19:23:09.343333
,BOT_018,I462,5,2026-08-12 19:23:09.343363
,BOT_018,I79,5,2026-08-12 19:23:09.343384
,BOT_018,I235,5,2026-08-12 19:23:09.343406
,BOT_019,I187,5,2026-08-12 19:23:09.343432
,BOT_019,I271,5,2026-08-12 19:23:09.343452
,BOT_019,I341,5,2026-08-12 19:23:09.343473
,BOT_020,I156,5,2026-08-12 19:23:09.343851
,BOT_020,I183,5,2026-08-12 19:23:09.343886
,BOT_020,I453,5,2026-08-12 19:23:09.343909
